timestamp,open,high,low,close,volume
2024-01-01,42288.58,44240.8,42175.65,44220.78,7977.72851143
2024-01-02,44220.78,45925.82,44195.13,44972.8,29583.38407747
2024-01-03,44972.81,45519.32,40625.68,42862.44,32281.85234351
2024-01-04,42860.58,44800.0,42650.0,44193.29,18193.81684353
2024-01-05,44198.35,44443.37,42450.0,44186.59,18073.09561495
2024-01-06,44187.76,44260.95,43436.5,43992.44,5691.43460343
2024-01-07,43992.79,44510.01,43629.7,43950.28,5931.34650683
2024-01-08,43954.52,47330.0,43200.44,46995.1,26447.17326625
2024-01-09,46995.09,47901.0,44701.54,46124.08,26305.56366042
2024-01-10,46120.79,47732.5,44320.01,46666.11,36534.39765866
2024-01-11,46678.54,49102.29,45555.55,46342.66,38150.89478822
2024-01-12,46344.96,46522.2,41444.97,42773.03,46862.43347199
2024-01-13,42775.1,43250.0,42427.0,42839.33,10998.76404264
2024-01-14,42839.32,43064.13,41680.73,41697.33,7834.26155365
2024-01-15,41698.13,43331.91,41680.0,42490.16,10869.45830576
2024-01-16,42481.69,43569.23,42028.02,43130.45,18180.4405406
2024-01-17,43130.35,43185.47,42160.0,42739.49,16381.8407159
2024-01-18,42737.68,42877.22,40600.05,41293.5,25097.42399202
2024-01-19,41290.57,42159.52,40236.49,41624.07,22745.55271173
2024-01-20,41623.94,41846.15,41418.55,41666.67,4836.63124969
2024-01-21,41666.67,41858.59,41472.49,41554.05,3138.26294449
2024-01-22,41553.92,41658.0,39372.44,39524.27,26539.34338688
2024-01-23,39524.27,40144.49,38501.0,39878.3,21966.56334645
2024-01-24,39878.28,40527.26,39382.15,40077.78,17438.97734668
2024-01-25,40079.87,40282.87,39503.0,39941.66,12978.7331205
2024-01-26,39941.66,42243.14,39805.95,41814.8,19359.37921096
2024-01-27,41814.96,42199.99,41383.94,42126.55,3774.45056434
2024-01-28,42126.55,42839.07,41617.53,42034.59,4298.44263812
2024-01-29,42034.57,43326.77,41787.35,43306.18,12529.09255982
2024-01-30,43303.3,43872.99,42680.2,42942.78,16384.61219735
2024-01-31,42937.72,43741.94,42265.77,42548.08,15320.62044085
2024-02-01,42545.47,43276.19,41846.04,43078.81,11526.63383073
2024-02-02,43080.38,43700.0,42527.58,43181.66,12202.24125895
2024-02-03,43183.62,43358.13,42863.58,43010.67,2254.45335539
2024-02-04,43007.82,43100.0,42228.01,42568.55,2643.251649
2024-02-05,42571.91,43520.0,42235.0,42657.67,8756.87806894
2024-02-06,42658.3,43372.79,42516.07,43095.79,7940.36830921
2024-02-07,43097.16,44430.0,42760.44,44343.61,12440.36853251
2024-02-08,44345.94,45637.38,44335.0,45305.2,19283.80580787
2024-02-09,45304.83,48230.02,45252.93,47160.41,22108.85067543
2024-02-10,47157.01,48179.43,46889.53,47767.06,5663.309891
2024-02-11,47767.06,48614.0,47590.3,48316.3,5243.1260706
2024-02-12,48321.14,50363.42,47715.67,49941.81,18545.08725852
2024-02-13,49941.95,50423.42,48327.81,49725.36,20471.56790372
2024-02-14,49724.55,52111.0,49253.92,51858.59,20249.94369733
2024-02-15,51858.51,52890.0,51353.49,51934.29,18465.04404385
2024-02-16,51935.23,52608.2,51597.87,52162.64,13816.27351282
2024-02-17,52162.65,52214.05,50642.36,51666.22,5387.3486576
2024-02-18,51666.23,52400.0,51174.38,52153.63,3997.17143898
2024-02-19,52153.63,52501.01,51687.98,51787.05,6009.01451962
2024-02-20,51787.05,53000.0,50764.01,52277.52,15888.87599974
2024-02-21,52277.53,52394.91,50628.6,51851.67,13735.03407249
2024-02-22,51851.46,52076.0,50905.65,51258.7,13104.51408087
2024-02-23,51260.29,51512.68,50513.01,50747.05,11679.16625824
2024-02-24,50746.98,51696.19,50576.55,51570.65,3448.96576791
